,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON,ID_TEAM_SEASON
16,1610612749,Milwaukee Bucks,82,41,41,0.5,3986.0,100.5,102.0,99.3,101.4,1.2,0.6,0.627,1.41,17.8,0.29,0.686,0.491,0.175,0.499,0.536,96.5,94.82,79.02,7867,0.511,1,15,15,15,3,25,4,15,6,22,7,14,26,21,29,13,15,14,11,2014-15,Milwaukee Bucks-2014-15
17,1610612750,Minnesota Timberwolves,82,16,66,0.195,3961.0,99.8,101.8,109.6,110.9,-9.8,-9.1,0.593,1.44,16.3,0.311,0.682,0.489,0.156,0.468,0.517,97.0,95.45,79.54,7873,0.453,1,30,30,30,20,26,30,29,12,21,18,7,29,24,21,28,25,10,27,2014-15,Minnesota Timberwolves-2014-15
18,1610612740,New Orleans Pelicans,82,45,37,0.549,3956.0,105.4,107.1,104.7,106.3,0.7,0.8,0.581,1.66,17.1,0.309,0.712,0.511,0.143,0.501,0.537,93.7,92.29,76.91,7608,0.508,1,13,13,13,23,9,22,13,16,8,8,8,13,8,10,11,12,27,13,2014-15,New Orleans Pelicans-2014-15
19,1610612752,New York Knicks,82,17,65,0.207,3971.0,97.1,98.9,107.2,109.0,-10.1,-10.1,0.606,1.45,16.7,0.289,0.691,0.484,0.158,0.47,0.508,93.7,92.06,76.72,7618,0.441,1,29,29,29,13,29,28,30,9,20,13,16,23,28,24,27,28,28,29,2014-15,New York Knicks-2014-15
20,1610612760,Oklahoma City Thunder,82,45,37,0.549,3966.0,104.5,106.7,103.1,104.6,1.3,2.1,0.528,1.4,15.3,0.318,0.73,0.524,0.151,0.492,0.532,98.3,96.61,80.51,7988,0.505,1,13,13,13,18,10,15,12,29,23,30,2,4,2,18,17,17,6,17,2014-15,Oklahoma City Thunder-2014-15
21,1610612753,Orlando Magic,82,25,57,0.305,3951.0,99.6,101.0,105.2,106.8,-5.6,-5.9,0.55,1.39,16.2,0.269,0.716,0.491,0.157,0.494,0.524,95.9,94.51,78.76,7773,0.455,1,26,26,26,25,27,24,26,27,24,21,29,8,23,22,16,21,16,26,2014-15,Orlando Magic-2014-15
22,1610612755,Philadelphia 76ers,82,18,64,0.22,3961.0,93.0,94.9,102.1,103.9,-9.1,-9.0,0.609,1.16,15.5,0.293,0.686,0.48,0.183,0.459,0.494,98.3,96.45,80.37,7950,0.426,1,28,28,28,20,30,13,28,8,30,27,12,28,29,30,29,30,7,30,2014-15,Philadelphia 76ers-2014-15
23,1610612756,Phoenix Suns,82,39,43,0.476,3976.0,102.9,104.2,103.4,105.3,-0.5,-1.1,0.522,1.34,15.4,0.281,0.698,0.489,0.154,0.501,0.537,98.7,97.2,81.0,8058,0.491,1,17,17,17,8,17,19,20,30,25,29,22,21,25,20,10,13,3,20,2014-15,Phoenix Suns-2014-15
24,1610612757,Portland Trail Blazers,82,51,31,0.622,3971.0,105.5,107.1,101.4,102.8,4.2,4.3,0.567,1.61,16.8,0.282,0.728,0.51,0.142,0.508,0.544,96.5,95.06,79.22,7868,0.522,1,8,8,8,13,8,9,6,21,11,12,21,5,9,7,9,9,12,8,2014-15,Portland Trail Blazers-2014-15
25,1610612758,Sacramento Kings,82,29,53,0.354,3971.0,102.5,104.5,106.5,108.2,-4.0,-3.7,0.554,1.25,15.5,0.313,0.715,0.519,0.168,0.49,0.542,97.9,96.16,80.13,7952,0.485,1,25,25,25,13,14,27,25,26,29,28,4,11,3,26,19,10,9,21,2014-15,Sacramento Kings-2014-15
26,1610612759,San Antonio Spurs,82,55,27,0.671,3991.0,106.2,107.6,99.6,101.4,6.6,6.3,0.623,1.75,18.4,0.272,0.73,0.507,0.146,0.517,0.555,95.9,94.45,78.71,7860,0.545,1,5,5,5,1,7,3,3,7,5,4,25,3,10,14,5,5,17,2,2014-15,San Antonio Spurs-2014-15
27,1610612761,Toronto Raptors,82,49,33,0.598,3971.0,108.1,110.2,104.8,107.1,3.2,3.1,0.547,1.61,16.1,0.301,0.689,0.494,0.137,0.508,0.553,95.4,93.46,77.88,7736,0.506,1,11,11,11,13,3,25,10,28,12,22,11,24,19,4,8,6,23,15,2014-15,Toronto Raptors-2014-15
28,1610612762,Utah Jazz,82,38,44,0.463,3941.0,102.5,104.2,102.1,104.1,0.5,0.1,0.563,1.3,15.8,0.332,0.715,0.524,0.168,0.494,0.531,92.8,91.1,75.91,7486,0.507,1,18,18,18,30,16,14,18,23,28,26,1,12,1,27,15,19,30,14,2014-15,Utah Jazz-2014-15
29,1610612764,Washington Wizards,82,46,36,0.561,3991.0,101.8,103.0,100.0,102.4,1.9,0.6,0.627,1.6,18.1,0.288,0.726,0.514,0.157,0.499,0.534,96.0,94.29,78.58,7844,0.525,1,12,12,12,1,22,6,14,5,13,5,17,6,5,23,14,16,18,7,2014-15,Washington Wizards-2014-15
30,1610612737,Atlanta Hawks,82,48,34,0.585,3966.0,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,1,7,7,7,11,20,2,7,2,7,2,29,26,28,21,6,8,9,6,2015-16,Atlanta Hawks-2015-16
